seed,precision,recall,f1
0,1.0,0.4435,0.6004
1,1.0,0.448,0.7097
2,1.0,0.4458,0.4348
3,1.0,0.5079,0.5886
4,1.0,0.4337,0.6365
5,1.0,0.4944,0.7674
6,1.0,0.5516,0.6358
7,1.0,0.3633,0.4952
8,1.0,0.4963,0.7859
9,1.0,0.4686,0.6087
10,1.0,0.5348,0.4403
11,1.0,0.4208,0.6833
12,1.0,0.5809,0.5919
13,1.0,0.5138,0.653
14,1.0,0.5686,0.4828
15,1.0,0.5397,0.4327
16,1.0,0.1093,0.5461
17,1.0,0.3394,0.7315
18,1.0,0.5527,0.4696
19,1.0,0.5774,0.4967
20,1.0,0.4514,0.5853
21,1.0,0.4784,0.7243
22,1.0,0.5492,0.6657
23,1.0,0.5507,0.6818
24,1.0,0.3784,0.5323
25,1.0,0.3996,0.6844
26,1.0,0.4292,0.914
27,1.0,0.3524,0.4846
28,1.0,0.5667,0.7997
29,1.0,0.5313,0.7265
