seed,precision,recall,f1
0,1.0,0.6864,0.8012
1,1.0,0.6913,0.8965
2,1.0,0.6889,0.6568
3,1.0,0.7578,0.7909
4,1.0,0.6755,0.8326
5,1.0,0.7428,0.9468
6,1.0,0.8065,0.832
7,1.0,0.5973,0.7094
8,1.0,0.745,0.9629
9,1.0,0.7142,0.8084
10,1.0,0.7878,0.6616
11,1.0,0.6612,0.8734
12,1.0,0.839,0.7938
13,1.0,0.7645,0.8471
14,1.0,0.8253,0.6987
15,1.0,0.7932,0.6549
16,1.0,0.315,0.7538
17,1.0,0.5706,0.9155
18,1.0,0.8076,0.6871
19,1.0,0.8351,0.7108
20,1.0,0.6951,0.788
21,1.0,0.7252,0.9092
22,1.0,0.8038,0.8581
23,1.0,0.8055,0.8722
24,1.0,0.614,0.7418
25,1.0,0.6375,0.8744
26,1.0,0.6705,1.0
27,1.0,0.5851,0.7002
28,1.0,0.8233,0.975
29,1.0,0.7839,0.9111
