seed,precision,recall,f1
0,1.0,0.5895,0.729
1,1.0,0.594,0.8252
2,1.0,0.5918,0.5833
3,1.0,0.6539,0.7186
4,1.0,0.5797,0.7607
5,1.0,0.6404,0.876
6,1.0,0.6976,0.7602
7,1.0,0.5093,0.6364
8,1.0,0.6423,0.8922
9,1.0,0.6146,0.7363
10,1.0,0.6808,0.5881
11,1.0,0.5668,0.8019
12,1.0,0.7269,0.7215
13,1.0,0.6598,0.7753
14,1.0,0.7146,0.6255
15,1.0,0.6857,0.5814
16,1.0,0.2553,0.6812
17,1.0,0.4854,0.8444
18,1.0,0.6987,0.6139
19,1.0,0.7234,0.6378
20,1.0,0.5974,0.7157
21,1.0,0.6244,0.838
22,1.0,0.6952,0.7865
23,1.0,0.6967,0.8006
24,1.0,0.5244,0.6691
25,1.0,0.5456,0.8029
26,1.0,0.5752,1.0
27,1.0,0.4984,0.6271
28,1.0,0.7127,0.9044
29,1.0,0.6773,0.8399
