project,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,wilcoxon_p_recall,a12_recall,wilcoxon_p_f1,a12_f1
TensorFlow,baseline,1.0,0.0,0.411,0.132,0.571,0.13,<0.0001,1.0,<0.0001,1.0
TensorFlow,solution,1.0,0.0,1.0,0.0,1.0,0.0,<0.0001,1.0,<0.0001,1.0
PyTorch,baseline,1.0,0.0,0.609,0.135,0.748,0.11,<0.0001,1.0,<0.0001,1.0
PyTorch,solution,1.0,0.0,1.0,0.0,1.0,0.0,<0.0001,1.0,<0.0001,1.0
Keras,baseline,1.0,0.0,0.708,0.15,0.82,0.109,<0.0001,1.0,<0.0001,1.0
Keras,solution,1.0,0.0,1.0,0.0,1.0,0.0,<0.0001,1.0,<0.0001,1.0
MXNet,baseline,1.0,0.0,0.507,0.14,0.661,0.131,<0.0001,1.0,<0.0001,1.0
MXNet,solution,1.0,0.0,1.0,0.0,1.0,0.0,<0.0001,1.0,<0.0001,1.0
Caffe,baseline,1.0,0.0,0.463,0.135,0.622,0.125,<0.0001,1.0,<0.0001,1.0
Caffe,solution,1.0,0.0,1.0,0.0,1.0,0.0,<0.0001,1.0,<0.0001,1.0
